Port Melbourni -->
COMP20003 Code: 5388, Official Code Suburb: 22107, Official Name Suburb: Port Melbourne, Year: 2021, Official Code State: 2, Official Name State: Victoria, Official Code Local Government Area: 23110, 24330, 24600, 25900, Official Name Local Government Area: Hobsons Bay, Maribyrnong, Melbourne, Port Phillip, Latitude: -37.8332725, Longitude: 144.9222073
COMP20003 Code: 5388, Official Code Suburb: 22107, Official Name Suburb: Port Melbourne, Year: 2021, Official Code State: 2, Official Name State: Victoria, Official Code Local Government Area: 23110, 24330, 24600, 25900, Official Name Local Government Area: Hobsons Bay, Maribyrnong, Melbourne, Port Phillip, Latitude: -37.8332725, Longitude: 144.9222073
COMP20003 Code: 5388, Official Code Suburb: 22107, Official Name Suburb: Port Melbourne, Year: 2021, Official Code State: 2, Official Name State: Victoria, Official Code Local Government Area: 23110, 24330, 24600, 25900, Official Name Local Government Area: Hobsons Bay, Maribyrnong, Melbourne, Port Phillip, Latitude: -37.8332725, Longitude: 144.9222073
COMP20003 Code: 5388, Official Code Suburb: 22107, Official Name Suburb: Port Melbourne, Year: 2021, Official Code State: 2, Official Name State: Victoria, Official Code Local Government Area: 23110, 24330, 24600, 25900, Official Name Local Government Area: Hobsons Bay, Maribyrnong, Melbourne, Port Phillip, Latitude: -37.8332725, Longitude: 144.9222073
COMP20003 Code: 5388, Official Code Suburb: 22107, Official Name Suburb: Port Melbourne, Year: 2021, Official Code State: 2, Official Name State: Victoria, Official Code Local Government Area: 23110, 24330, 24600, 25900, Official Name Local Government Area: Hobsons Bay, Maribyrnong, Melbourne, Port Phillip, Latitude: -37.8332725, Longitude: 144.9222073
COMP20003 Code: 5388, Official Code Suburb: 22107, Official Name Suburb: Port Melbourne, Year: 2021, Official Code State: 2, Official Name State: Victoria, Official Code Local Government Area: 23110, 24330, 24600, 25900, Official Name Local Government Area: Hobsons Bay, Maribyrnong, Melbourne, Port Phillip, Latitude: -37.8332725, Longitude: 144.9222073
COMP20003 Code: 5388, Official Code Suburb: 22107, Official Name Suburb: Port Melbourne, Year: 2021, Official Code State: 2, Official Name State: Victoria, Official Code Local Government Area: 23110, 24330, 24600, 25900, Official Name Local Government Area: Hobsons Bay, Maribyrnong, Melbourne, Port Phillip, Latitude: -37.8332725, Longitude: 144.9222073
COMP20003 Code: 5388, Official Code Suburb: 22107, Official Name Suburb: Port Melbourne, Year: 2021, Official Code State: 2, Official Name State: Victoria, Official Code Local Government Area: 23110, 24330, 24600, 25900, Official Name Local Government Area: Hobsons Bay, Maribyrnong, Melbourne, Port Phillip, Latitude: -37.8332725, Longitude: 144.9222073
COMP20003 Code: 5388, Official Code Suburb: 22107, Official Name Suburb: Port Melbourne, Year: 2021, Official Code State: 2, Official Name State: Victoria, Official Code Local Government Area: 23110, 24330, 24600, 25900, Official Name Local Government Area: Hobsons Bay, Maribyrnong, Melbourne, Port Phillip, Latitude: -37.8332725, Longitude: 144.9222073
COMP20003 Code: 5388, Official Code Suburb: 22107, Official Name Suburb: Port Melbourne, Year: 2021, Official Code State: 2, Official Name State: Victoria, Official Code Local Government Area: 23110, 24330, 24600, 25900, Official Name Local Government Area: Hobsons Bay, Maribyrnong, Melbourne, Port Phillip, Latitude: -37.8332725, Longitude: 144.9222073
COMP20003 Code: 5388, Official Code Suburb: 22107, Official Name Suburb: Port Melbourne, Year: 2021, Official Code State: 2, Official Name State: Victoria, Official Code Local Government Area: 23110, 24330, 24600, 25900, Official Name Local Government Area: Hobsons Bay, Maribyrnong, Melbourne, Port Phillip, Latitude: -37.8332725, Longitude: 144.9222073
Humpty Dee -->
COMP20003 Code: 59, Official Code Suburb: 70132, Official Name Suburb: Humpty Doo, Year: 2021, Official Code State: 7, Official Name State: Northern Territory, Official Code Local Government Area: 72300, Official Name Local Government Area: Litchfield, Latitude: -12.5848581, Longitude: 131.1272788
COMP20003 Code: 59, Official Code Suburb: 70132, Official Name Suburb: Humpty Doo, Year: 2021, Official Code State: 7, Official Name State: Northern Territory, Official Code Local Government Area: 72300, Official Name Local Government Area: Litchfield, Latitude: -12.5848581, Longitude: 131.1272788
COMP20003 Code: 59, Official Code Suburb: 70132, Official Name Suburb: Humpty Doo, Year: 2021, Official Code State: 7, Official Name State: Northern Territory, Official Code Local Government Area: 72300, Official Name Local Government Area: Litchfield, Latitude: -12.5848581, Longitude: 131.1272788
COMP20003 Code: 59, Official Code Suburb: 70132, Official Name Suburb: Humpty Doo, Year: 2021, Official Code State: 7, Official Name State: Northern Territory, Official Code Local Government Area: 72300, Official Name Local Government Area: Litchfield, Latitude: -12.5848581, Longitude: 131.1272788
COMP20003 Code: 59, Official Code Suburb: 70132, Official Name Suburb: Humpty Doo, Year: 2021, Official Code State: 7, Official Name State: Northern Territory, Official Code Local Government Area: 72300, Official Name Local Government Area: Litchfield, Latitude: -12.5848581, Longitude: 131.1272788
COMP20003 Code: 59, Official Code Suburb: 70132, Official Name Suburb: Humpty Doo, Year: 2021, Official Code State: 7, Official Name State: Northern Territory, Official Code Local Government Area: 72300, Official Name Local Government Area: Litchfield, Latitude: -12.5848581, Longitude: 131.1272788
COMP20003 Code: 59, Official Code Suburb: 70132, Official Name Suburb: Humpty Doo, Year: 2021, Official Code State: 7, Official Name State: Northern Territory, Official Code Local Government Area: 72300, Official Name Local Government Area: Litchfield, Latitude: -12.5848581, Longitude: 131.1272788
COMP20003 Code: 59, Official Code Suburb: 70132, Official Name Suburb: Humpty Doo, Year: 2021, Official Code State: 7, Official Name State: Northern Territory, Official Code Local Government Area: 72300, Official Name Local Government Area: Litchfield, Latitude: -12.5848581, Longitude: 131.1272788
COMP20003 Code: 59, Official Code Suburb: 70132, Official Name Suburb: Humpty Doo, Year: 2021, Official Code State: 7, Official Name State: Northern Territory, Official Code Local Government Area: 72300, Official Name Local Government Area: Litchfield, Latitude: -12.5848581, Longitude: 131.1272788
COMP20003 Code: 59, Official Code Suburb: 70132, Official Name Suburb: Humpty Doo, Year: 2021, Official Code State: 7, Official Name State: Northern Territory, Official Code Local Government Area: 72300, Official Name Local Government Area: Litchfield, Latitude: -12.5848581, Longitude: 131.1272788
COMP20003 Code: 59, Official Code Suburb: 70132, Official Name Suburb: Humpty Doo, Year: 2021, Official Code State: 7, Official Name State: Northern Territory, Official Code Local Government Area: 72300, Official Name Local Government Area: Litchfield, Latitude: -12.5848581, Longitude: 131.1272788
North Melbourne -->
COMP20003 Code: 4377, Official Code Suburb: 21966, Official Name Suburb: North Melbourne, Year: 2021, Official Code State: 2, Official Name State: Victoria, Official Code Local Government Area: 24600, Official Name Local Government Area: Melbourne, Latitude: -37.7984833, Longitude: 144.9448560
COMP20003 Code: 4377, Official Code Suburb: 21966, Official Name Suburb: North Melbourne, Year: 2021, Official Code State: 2, Official Name State: Victoria, Official Code Local Government Area: 24600, Official Name Local Government Area: Melbourne, Latitude: -37.7984833, Longitude: 144.9448560
COMP20003 Code: 4377, Official Code Suburb: 21966, Official Name Suburb: North Melbourne, Year: 2021, Official Code State: 2, Official Name State: Victoria, Official Code Local Government Area: 24600, Official Name Local Government Area: Melbourne, Latitude: -37.7984833, Longitude: 144.9448560
COMP20003 Code: 4377, Official Code Suburb: 21966, Official Name Suburb: North Melbourne, Year: 2021, Official Code State: 2, Official Name State: Victoria, Official Code Local Government Area: 24600, Official Name Local Government Area: Melbourne, Latitude: -37.7984833, Longitude: 144.9448560
COMP20003 Code: 4377, Official Code Suburb: 21966, Official Name Suburb: North Melbourne, Year: 2021, Official Code State: 2, Official Name State: Victoria, Official Code Local Government Area: 24600, Official Name Local Government Area: Melbourne, Latitude: -37.7984833, Longitude: 144.9448560
COMP20003 Code: 4377, Official Code Suburb: 21966, Official Name Suburb: North Melbourne, Year: 2021, Official Code State: 2, Official Name State: Victoria, Official Code Local Government Area: 24600, Official Name Local Government Area: Melbourne, Latitude: -37.7984833, Longitude: 144.9448560
COMP20003 Code: 4377, Official Code Suburb: 21966, Official Name Suburb: North Melbourne, Year: 2021, Official Code State: 2, Official Name State: Victoria, Official Code Local Government Area: 24600, Official Name Local Government Area: Melbourne, Latitude: -37.7984833, Longitude: 144.9448560
COMP20003 Code: 4377, Official Code Suburb: 21966, Official Name Suburb: North Melbourne, Year: 2021, Official Code State: 2, Official Name State: Victoria, Official Code Local Government Area: 24600, Official Name Local Government Area: Melbourne, Latitude: -37.7984833, Longitude: 144.9448560
COMP20003 Code: 4377, Official Code Suburb: 21966, Official Name Suburb: North Melbourne, Year: 2021, Official Code State: 2, Official Name State: Victoria, Official Code Local Government Area: 24600, Official Name Local Government Area: Melbourne, Latitude: -37.7984833, Longitude: 144.9448560
COMP20003 Code: 4377, Official Code Suburb: 21966, Official Name Suburb: North Melbourne, Year: 2021, Official Code State: 2, Official Name State: Victoria, Official Code Local Government Area: 24600, Official Name Local Government Area: Melbourne, Latitude: -37.7984833, Longitude: 144.9448560
COMP20003 Code: 4377, Official Code Suburb: 21966, Official Name Suburb: North Melbourne, Year: 2021, Official Code State: 2, Official Name State: Victoria, Official Code Local Government Area: 24600, Official Name Local Government Area: Melbourne, Latitude: -37.7984833, Longitude: 144.9448560
